E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_072		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.41717	9.31105E-4	0.00962	0.01832	0.05477
1.41768	9.4551E-4	0.00977	0.0186	0.05562
1.41818	9.81624E-4	0.01014	0.01932	0.05774
1.41868	9.84358E-4	0.01017	0.01937	0.0579
1.41918	9.52046E-4	0.00984	0.01873	0.056
1.41968	9.67685E-4	0.01	0.01904	0.05692
1.42018	9.61183E-4	0.00993	0.01891	0.05654
1.42068	9.74254E-4	0.01006	0.01917	0.05731
1.42118	9.73988E-4	0.01006	0.01916	0.05729
1.42168	9.71353E-4	0.01003	0.01911	0.05714
1.42218	9.50012E-4	0.00981	0.01869	0.05588
1.42267	9.95629E-4	0.01029	0.01959	0.05857
1.42317	0.00102	0.01054	0.02007	0.06
1.42367	9.98097E-4	0.01031	0.01964	0.05871
1.42417	0.00102	0.01053	0.02006	0.05996
1.42467	0.001	0.01034	0.0197	0.0589
1.42516	9.96163E-4	0.01029	0.0196	0.0586
1.42566	0.00102	0.01053	0.02006	0.05997
1.42616	0.00104	0.01074	0.02046	0.06117
1.42666	0.00104	0.01073	0.02044	0.0611
1.42716	0.00102	0.01056	0.02012	0.06016
1.42766	0.00104	0.01074	0.02046	0.06116
1.42815	0.00103	0.01065	0.02029	0.06066
1.42866	0.00102	0.01052	0.02003	0.05989
1.42915	0.00104	0.01073	0.02044	0.06111
1.42965	0.00103	0.01069	0.02035	0.06085
1.43015	0.00106	0.01099	0.02094	0.0626
1.43064	0.00108	0.01119	0.02132	0.06372
1.43114	0.00113	0.01163	0.02215	0.06622
1.43165	0.00111	0.01148	0.02187	0.06537
1.43215	0.0011	0.01141	0.02173	0.06497
1.43265	0.00111	0.01143	0.02177	0.0651
1.43316	0.00107	0.0111	0.02114	0.06319
1.43366	0.00105	0.01088	0.02072	0.06195
1.43416	0.00107	0.01108	0.0211	0.06307
1.43465	0.00109	0.01122	0.02138	0.06391
1.43515	0.00107	0.0111	0.02115	0.06322
1.43565	0.00107	0.0111	0.02114	0.0632
1.43614	0.00109	0.01124	0.02142	0.06403
1.43664	0.00106	0.01093	0.02082	0.06225
1.43715	0.0011	0.01134	0.02161	0.06459
1.43764	0.00108	0.01115	0.02123	0.06347
1.43814	0.00104	0.01075	0.02048	0.06122
1.43864	0.00109	0.01129	0.02151	0.0643
1.43914	0.00108	0.01114	0.02122	0.06344
1.43964	0.00108	0.01118	0.0213	0.06368
1.44014	0.00108	0.01118	0.0213	0.06368
1.44064	0.0011	0.01134	0.0216	0.06459
1.44114	0.00112	0.01154	0.02197	0.06569
