X	Z
µm	µm
1785.59	-0.13
1786.978	-0.117
1788.365	-0.104
1789.752	-0.098
1791.14	-0.111
1792.527	-0.115
1793.915	-0.091
1795.302	-0.114
1796.689	-0.118
1798.077	-0.102
1799.464	-0.103
1800.852	-0.129
1802.239	-0.119
1803.626	-0.102
1805.014	-0.104
1806.401	-0.116
1807.789	-0.129
1809.176	-0.122
1810.563	-0.121
1811.951	-0.129
