	[Co Spot (1,1)] Co2p		[IrCo 20:80 Spot (2,1)] Co2p		[IrCo 40:60 Spot (3,1)] Co2p		[IrCo 60:40 Spot (4,1)] Co2p		[IrCo 80:20 Spot (5,1)] Co2p		[Ir Spot (9,6)] Co2p
786.23	1970.23638933	786.31	5576.548421737	786.28	10502.260044464	786.23	12891.093894911	786.36	16517.345298775	786.24	21539.096170555
786.33	1981.83093211	786.41	5557.775076377	786.38	10498.829335114	786.33	12885.921211001	786.46	16519.437563791	786.34	21515.235564015
786.43	1989.24405389	786.51	5586.047496707	786.48	10501.146033024	786.43	12896.766240551	786.56	16530.289334825	786.44	21541.511488285
786.53	1990.02313987	786.61	5587.097681847	786.58	10511.211297594	786.53	12893.682123561	786.66	16503.556967791	786.54	21599.620262555
786.63	1967.14211802	786.71	5568.413173047	786.68	10515.272758554	786.63	12894.590943131	786.76	16516.144527141	786.64	21609.601687085
786.73	1978.44635667	786.81	5577.266849017	786.78	10478.930448024	786.73	12886.598760011	786.86	16514.768577441	786.74	21624.377470555
786.83	1972.49952713	786.91	5579.936723417	786.88	10513.207585554	786.83	12887.415582781	786.96	16517.469251258	786.84	21595.930804815
786.93	1960.96563922	787.01	5566.914477867	786.98	10527.003934174	786.93	12887.813864011	787.06	16522.058148991	786.94	21589.923848015
787.03	1965.15407502	787.11	5597.420532107	787.08	10538.761974774	787.03	12885.278940331	787.16	16518.991469541	787.04	21606.561084285
787.13	1976.89307649	787.21	5602.313654537	787.18	10546.048467714	787.13	12881.392653101	787.26	16519.527226041	787.14	21566.197483355
787.23	1982.93844473	787.31	5594.906436357	787.28	10535.887843224	787.23	12892.673933561	787.36	16505.851513775	787.24	21616.657570415
787.33	2006.42232007	787.41	5607.111614617	787.38	10564.118888754	787.33	12912.469185751	787.46	16508.110496708	787.34	21638.516698555
787.43	2004.99801284	787.51	5613.298492737	787.48	10557.526148194	787.43	12894.651497881	787.56	16508.449233525	787.44	21577.149872155
787.53	2018.74558236	787.61	5607.792588087	787.58	10549.695439954	787.53	12884.625326501	787.66	16501.813231775	787.54	21587.908566415
787.63	2009.54591053	787.71	5591.777291447	787.68	10556.295754624	787.63	12886.763801501	787.76	16503.034137108	787.64	21571.265067085
787.73	2006.68401436	787.81	5614.444207357	787.78	10590.485834734	787.73	12896.003395281	787.86	16506.762932491	787.74	21601.550003755
787.83	2039.1227668	787.91	5643.148144937	787.88	10582.483513334	787.83	12889.222854631	787.96	16512.570495658	787.84	21596.649976815
787.93	2029.48548151	788.01	5644.024594557	787.98	10578.092459044	787.93	12879.372297831	788.06	16512.555162975	787.94	21561.798481885
788.03	2042.90942916	788.11	5625.625144267	788.08	10589.740619914	788.03	12887.559623431	788.16	16512.626507808	788.04	21555.766834015
788.13	2034.98100322	788.21	5627.505332957	788.18	10607.391234224	788.13	12906.576856511	788.26	16513.765964275	788.14	21609.949853755
788.23	2046.68743824	788.31	5642.693031977	788.28	10626.605553934	788.23	12889.156761861	788.36	16513.126315225	788.24	21621.586258285
788.33	2036.84333442	788.41	5656.277882937	788.38	10609.250942714	788.33	12905.185020311	788.46	16516.441801025	788.34	21521.275705755
788.43	2067.46349156	788.51	5652.319017647	788.48	10622.721265624	788.43	12899.905723751	788.56	16517.004775708	788.44	21587.921213355
788.53	2058.07147442	788.61	5656.112793997	788.58	10629.840127284	788.53	12914.368004081	788.66	16499.959771008	788.54	21608.348369885
788.63	2062.31716987	788.71	5640.034937997	788.68	10606.068169334	788.63	12909.284226181	788.76	16498.631540575	788.64	21570.954555085
788.73	2052.15206444	788.81	5648.951386977	788.78	10628.974531464	788.73	12898.705592201	788.86	16502.294442875	788.74	21529.292290155
788.83	2053.410571	788.91	5649.174477817	788.88	10651.705981684	788.83	12900.144965111	788.96	16497.893124891	788.84	21581.532981215
788.93	2063.82575696	789.01	5655.085329537	788.98	10637.518984424	788.93	12919.342674301	789.06	16498.738832808	788.94	21601.386248285
789.03	2071.96509507	789.11	5651.764467487	789.08	10612.729061134	789.03	12908.437530901	789.16	16509.586770791	789.04	21573.597752815
789.13	2081.8988268	789.21	5656.451253977	789.18	10621.562086534	789.13	12905.322514701	789.26	16510.452035825	789.14	21557.306220955
789.23	2093.39649178	789.31	5652.214292797	789.28	10641.877353974	789.23	12909.456132181	789.36	16502.431807941	789.24	21578.953737755
789.33	2078.58838056	789.41	5642.699981307	789.38	10615.613752284	789.33	12916.460304651	789.46	16501.324841558	789.34	21580.134211615
